Table 1
					to All or Lon			Log			Mah			to Out			Log			Mah				
Yr	No	ff	ff	Desc	L	s	d	L	s	d	L	s	d	L	s	d	L	s	d	L	s	d		
1695																								
1696																								
1697																								
1698	1; 2																							
1699	3																							
1700	4																							
1701	5																							
1702	6																							
1703	7																							
1704	8																							
1705	9																							
1706																								
1707	10																							
1708	11																							
1709	12																							
1710	13																							
1711	14																							
1712																								
1713	15			SWI	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
1714	16			SWI	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
1715	17			SWI	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
1716	18	26	145	SWI	15786	15	7	0	0	0	0	0	0	626	13	6	0	0	0	0	0	0		
1717	19	30		SWI	163219	1	2	1883	18	9	0	0	0	0	0	0	0	0	0	0	0	0		
1718	20	32		SWI	73071	5	7	3001	10	0	0	0	0	0	0	0	0	0	0	0	0	0		
1719	21	26	134	SWI	18043	14	8	503	2	0	0	0	0	373	15	2	0	0	0	0	0	0		
1720	22			SWI	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
1721	23	26		SWI	1012	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
1722	24	27		SWI	8125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
1723	25	33		SWI	6013	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
1724	26	39	159	SWI	154506	18	3	288	0	0	14	0	0	1576	10	10	1476	0	0	69	4	10		
1725	27	45	171	SWI	18336	0	10	0	0	0	0	0	0	1800	0	0	1800	0	0	0	0	0		
1726	28B	44	162	SWI	42458	1	9	3366	0	0	0	0	0	3444	6	9	3444	6	9	0	0	0		
1727	82	38		SWI	42050	10	8	0	0	0	405	12	0	0	0	0	0	0	0	0	0	0		
1728																								
1729	29																							
1730	30	43		SWI	125956	15	7	2004	0	0	0	0	0	0	0	0								
1731	31	42	170	SWI	147242	5	4	2520	0	0	14	10	4	716	10	8	0	0	0	0	0	0		
1732	32	43	167	SWI	3602	10	9	333	0	0	49	6	0	47940	17	8	73	5	7	3	11	0		
1733	33	40	155	SWI	9045	5	3	5520	0	0	109	19	0	2563	12	7	21	12	0	0	0	0		
1734	34	40	158	SWI	25538	15	2	0	0	0	0	0	0	90	7	2	0	0	0	0	0	0		
1735	35	43	165	SWI	16591	9	4	1153	14	4	0	0	0	398	6	2	0	0	0	0	0	0		
1736	36	42	168	SWI	3559	5	9	0	0	0	0	0	0	478	9	6	0	0	0	0	0	0		
1737	37	42	169	SWI	817	6	0	0	0	0	0	0	0	878	5	3	720	0	0	1	18	0		
1738	38	40		SWI	3432	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
1739	39	42	158	SWI	62912	15	11	60	0	0	6	14	4	1	15	0	0	0	0	0	0	0		
1740	40	38		SWI	202	8	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
1741	41	39		SWI	2519	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
1742	42																							
1743	43			SWI	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
1744	44																							
1745	45																							
1746	46																							
1747	47																							
1748	48																							
1749	49																							
1750	50																							
1751	51			SWI	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
1752	52																							
1753	53																							
1754	54																							
1755	55																							
1756	56																							
1757	57																							
1758	58																							
1759	59																							
1760	60																							
1761	61																							
1762	62																							
1763	63																							
1764	64	48		SWI	9398	11	3	3714	0	0	2885	0	0	0	0	0	0	0	0	0	0	0		
1765	65	47	202	SWI	10518	3	5	7092	0	0	2732	0	0	1356	2	3	1128	0	0	123	0	0		
1766	66	46	196	Hon	7388	5	8	4488	0	0	1489	4	0	4212	16	10	3610	16	10	602	0	0		
1767	67	45		Hon + Mos	15216	14	7	13838	15	7	965	0	0											
	67		206	Hon										394	13	8	387	6	0	7	7	8		
1768	68			Hon + Mos	0	0	0	0	0	0	0	0	0											
	68		212	Hon										4000	1	2	3336	0	0	664	1	2		
1769	69		203	Hon	0	0	0	0	0	0	0	0	0	7456	9	11	7239	19	6	211	17	1		
	69	47		Mos	74037	12	7	59532	0	0	6275	0	0	0	0	0	0	0	0	0	0	0		
1770	70	45		Hon + Mos	79409	10	8	67320	0	0	9942	18	0											
	70		208	Hon										6249	16	6	6082	10	0	167	6	6		
	70		208	Mos										1597	12	0	394	4	6	1200	0	0		
1771	71	48	216	Hon	29849	6	3	12735	14	5	16429	8	6	4238	3	4	1497	5	1	2287	11	6		
	71	48		Mos	5275	11	2	2688	0	0	1858	0	0	0	0	0	0	0	0	0	0	0		
1772	72	45	214	Hon	40354	16	10	29988	0	0	10161	0	0	10724	17	0	7064	18	8	3659	18	4		
	72	45		Mos	15580	3	0	2088	0	0	11641	0	0	0	0	0	0	0	0	0	0	0		
1773	73	48	211	Hon	14594	13	10	5469	12	0	6654	0	0	6782	19	11	3257	13	6	3198	0	0		
	73	48		Mos	14563	11	10	1620	0	0	7361	0	0	0	0	0	0	0	0	0	0	0		
1774	74	48	220	Hon	20548	13	10	6744	0	0	12549	0	0	4705	5	9	2347	13	0	2357	12	9		
	74	49		Mos	8694	9	8	888	0	0	3754	0	0	0	0	0	0	0	0	0	0	0		
1775	75	52	214	Hon	37001	17	2	14484	0	0	21283	0	0	6178	9	2	3513	12	9	2661	13	1		
	75	53		Mos	7849	18	6	360	0	0	3520	0	0	0	0	0	0	0	0	0	0	0		
1776	76	49	197	Hon	23667	1	3	6060	0	0	17321	10	0	6340	7	9	3220	7	9	3120	0	0		
	76	49		Mos	2468	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
