Table 1
Start	End	Type	Desc	L UA	L LA	T	P	Cost	Profit
Mar 1701		Hostility	Sp						
Jul 1701		War	Fr Sp						
Feb 1718		Hostility	Pir Sp						
Apr 1718		Hostility	Pir	68	59				
Aug 1718		War	Sp						
Mar 1726		War	Sp						
Nov 1728		Hostility	Sp	2	2				
Jan 1734		Hostility	Sp	1	1				
Jun 1737		Outbreak	Diphtheria	sev	sev				
Oct 1739		War	Jenkins’ Ear	>> sev	>> sev				
Mar 1750		Outbreak	"Fever, ague"						
May 1750		Hostility	Sp	2	2				
Nov 1751		Outbreak	Measles	>> sev	>> sev				
Nov 1756		Hostility	Sp						
Jan 1762		War	Fr Sp						
Dec 1763		Hostility	Sp						
Jun 1765		Crisis	Depression	>> sev	>> sev				
Aug 1765		Revolt	Cook						
Feb 1767		Affair	French / Dutch Log						
Mar 1767		Hostility	Sp	some	some				
Jan 1768		Crisis	Desertions						
Sep 1770		Hostility	Sp	sev	sev				
Jun 1771		Famine		80000	17000				
May 1773		Revolt	Davidson	> 4	> 4				
Sep 1773		Hostility	Maya						
Apr 1775		War	Amer Rev	> 9	> 9				
Dec 1784		Flood		sev	sev				
Feb 1785		Crisis	Sp panic						
Jun 1786		Revolt	Old R	some	some				
Jun 1787		Crisis	Mos / Despard						
Sep 1787		Outbreak	Measles	>> 50	>> 50				
Nov 1792		Flood		sev	sev				
Jan 1793		Hostility	Am Fr Sp						
Nov 1793		Hostility	Maya	4	4				
Aug 1796		War	Fr Sp	11	11				
Sep 1797		Outbreak	Yellow fever	23	23				
May 1804		War	Fr Sp						
Jun 1812		War	Am						
